Phylum,Class,Order,Family,Genus,FFG,TV,MBSS UTV,MACS TV,Habitat
Mollusca,Gastropoda,Limnophila,Physidae,Physa,,,7,,CL
Arthropoda,Insecta,Trichoptera,Polycentropodidae,Nyctiophylax,F,5,0.2,5,CG
Arthropoda,Insecta,Coleoptera,Scirtidae,Cyphon,CG,,7,,SC
Arthropoda,Arachnida,Acari,Unionicolidae,Unionicola,P,,,,SW
Arthropoda,Insecta,Coleoptera,Gyrinidae,Dineutus,P,,4,4,SW
Arthropoda,Insecta,Trichoptera,Polycentropodidae,Neureclipsis,F,7,0.2,7,CG
Arthropoda,Insecta,Trichoptera,Polycentropodidae,Cyrnellus,,,0.2,,
Arthropoda,Insecta,Trichoptera,Dipseudopsidae,Phylocentropus,CG,,5,5,BU
Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,F,6,1.1,6,CG
Arthropoda,Insecta,Trichoptera,Psychomyiidae,Lype,SC,2,4.7,2,CG
